Name,BroadClass,Period,UnitaryAuthority,lon,lat
Remains of Astronomical Observatory at Penllergaer                                                                                                    ,Education,Post Medieval/Modern,Swansea,-3.993317345465266,51.67368991573963
Pen y Ffrwd-Llwyd Camp                                                                                                                                ,Defence,Prehistoric,Ceredigion,-3.8942868835923012,52.301947656948116
Garn Goch Round Barrow,"Religious, Ritual and Funerary",Prehistoric,Swansea,-4.017564283989902,51.664076432177
Standing Stones 300m W of Cefncelfi,"Religious, Ritual and Funerary",Prehistoric,Neath Port Talbot,-3.822558388242144,51.71237068274096
Ffrith-Uchaf Round Cairn                                                                                                                              ,"Religious, Ritual and Funerary",Prehistoric,Conwy,-3.7032601513452716,53.124778682032364
Mesur-y-Dorth Cross-Incised Stone,"Religious, Ritual and Funerary",Early Medieval,Pembrokeshire,-5.145584453207576,51.93235564861883
Castell Mawr                                                                                                                                          ,Defence,Prehistoric,Pembrokeshire,-4.742373321464386,52.00638061892238
Castell Eglwyswrw                                                                                                                                     ,Defence,Medieval,Pembrokeshire,-4.713218263735657,52.01270395657001
Castell Nanhyfer,Defence,Medieval,Pembrokeshire,-4.796987440387316,52.02665233347475
Castell Heinif                                                                                                                                        ,Defence,Prehistoric,Pembrokeshire,-5.308113258657196,51.874145053336974
Penparke Standing Stone                                                                                                                               ,"Religious, Ritual and Funerary",Prehistoric,Pembrokeshire,-4.782314297226213,51.98451593270711
Bryngwyn Wood Camp                                                                                                                                    ,Defence,Prehistoric,Powys,-3.2109324260026395,52.75182254253163
Black Bank Camp                                                                                                                                       ,Monument,Prehistoric,Powys,-3.090062640179583,52.66106304663354
Y Golfa Camp                                                                                                                                          ,Monument,Prehistoric,Powys,-3.2162090520447073,52.653434233843335
Tan y Clawdd Camp                                                                                                                                     ,Defence,Prehistoric,Powys,-3.200111858903239,52.662669511229694
"Roman Supply Depot, Llansantffraid ym Mechain",Monument,Roman,Powys,-3.145606075287366,52.777760514887945
Carreghofa Castle                                                                                                                                     ,Defence,Medieval,Powys,-3.1067579119016715,52.79211770820527
Knaps Barrows                                                                                                                                         ,"Religious, Ritual and Funerary",Prehistoric,Powys,-3.0466045255628176,52.67700772358907
Powis Castle Park Mound,"Gardens, Parks and Urban Spaces",Post Medieval/Modern,Powys,-3.1811040643382733,52.643747364257486
Llancarfan Monastery (Site of)                                                                                                                        ,"Religious, Ritual and Funerary",Early Medieval,Vale of Glamorgan,-3.365340156282363,51.42146371194794
New Radnor: Interior of Medieval Town,Civil,Medieval,Powys,-3.1574700371355773,52.24020894230167
Felin Wen Tide Mill,Industrial,Post Medieval/Modern,Isle of Anglesey,-4.556251285956546,53.264343243280436
Dinas Silica Mine                                                                                                                                     ,Transport,Post Medieval/Modern,Rhondda Cynon Taff,-3.570447607502286,51.76040501174154
Medieval Cross in Churchyard,"Religious, Ritual and Funerary",Medieval,Vale of Glamorgan,-3.502887338832674,51.489613910527595
Llangan Celtic Cross,"Religious, Ritual and Funerary",Early Medieval,Vale of Glamorgan,-3.503050150975218,51.489746705974774
Cross in St Mary's Churchyard,"Religious, Ritual and Funerary",Medieval,Vale of Glamorgan,-3.502824524409441,51.503031022145706
"Llandough Castle, Remains of Hall",Defence,Medieval,Vale of Glamorgan,-3.4475653997350832,51.446976820086434
Ringwork & Bailey at Gelligarn,Defence,Medieval,Vale of Glamorgan,-3.4987830476760524,51.49754358442623
Mynydd y Gaer                                                                                                                                         ,Defence,Prehistoric,Bridgend,-3.482072257622232,51.55437926065455
Castle Mound near Swan Hotel                                                                                                                          ,Defence,Medieval,Powys,-3.1299172939966295,52.07265212132405
Tretower Court                                                                                                                                        ,Domestic,Medieval,Powys,-3.18455706663901,51.883309501066215
Fforest Castle Mound                                                                                                                                  ,Defence,Medieval,Powys,-3.580911713947524,52.15587618969722
Old Beaupre Castle,Domestic,Medieval,Vale of Glamorgan,-3.4285726394029,51.439224809041164
Cae Metta Hut Group,Domestic,Prehistoric,Gwynedd,-4.191136777480457,53.161713796005415
Enclosure 200m SE of Solva Village                                                                                                                    ,Monument,Prehistoric,Pembrokeshire,-5.184997209236438,51.87441576787573
Enclosure in Tycanol Wood                                                                                                                             ,Defence,Prehistoric,Pembrokeshire,-4.782276414691664,51.99635196729007
Bont-Newydd                                                                                                                                           ,Transport,Post Medieval,Gwynedd,-4.0049307251085,53.22821592881384
Pier Camp,Monument,Unknown,Gwynedd,-4.127736080071149,53.23387168786531
Cefn Mawr Hut Group,Domestic,Prehistoric,Gwynedd,-4.195369192721625,53.16403635379774
"Vivian Slate Quarry, Inclines, Walia & associated structures                                                                                          ",Industrial,Post Medieval/Modern,Gwynedd,-4.114041434120055,53.1243760646784
Hut Group N of Glan'r Afon,Domestic,Prehistoric,Isle of Anglesey,-4.253520904723104,53.34480567522441
Hut Group W of Foel Dduarth,Domestic,Prehistoric,Gwynedd,-3.9829081564196382,53.22499736566272
Middleton Moated Site                                                                                                                                 ,Domestic,Medieval,Vale of Glamorgan,-3.222943541113536,51.41023164449499
Walterston ringwork                                                                                                                                   ,Monument,Medieval,Vale of Glamorgan,-3.3417076383910405,51.43218553170122
"Medieval House Site, Llantrithyd",Monument,Medieval,Vale of Glamorgan,-3.3749453368906996,51.445342435110256
Llanvithyn Camp                                                                                                                                       ,Defence,Prehistoric,Vale of Glamorgan,-3.361469272067539,51.43736188514264
Llantrithyd Camp,Monument,Prehistoric,Vale of Glamorgan,-3.384897424548735,51.44943357781585
Two Cairns on Traeth Mawr                                                                                                                             ,"Religious, Ritual and Funerary",Prehistoric,Powys,-3.5053404192517563,51.92041866843936
Moel-y-Gaer Camp                                                                                                                                      ,Defence,Prehistoric,Denbighshire,-3.2742232705059147,53.146056490492306
Castell Rhuddlan,Defence,Medieval,Denbighshire,-3.4650281820000006,53.28914333067125
"Huts and Enclosures, Cwm Llefrith                                                                                                                     ",Domestic,Prehistoric,Gwynedd,-4.162166683186507,52.99922193528819
Burnt Mound 230m NE of Ffos                                                                                                                           ,Domestic,Prehistoric,Ceredigion,-3.92315046442591,52.287031644530806
"Hut Circle, Bryniau Poethion, Great Orme",Domestic,Prehistoric,Conwy,-3.8496141929397045,53.33275672674491
Wat's Dyke: Section SE of Meadow Mills                                                                                                                ,Monument,Early Medieval,Flintshire,-3.214854139093759,53.2811676638258
Holywell Castle Mound                                                                                                                                 ,Defence,Medieval,Flintshire,-3.222499621487685,53.27734995387905
Kelsterton Brewery                                                                                                                                    ,Industrial,Post Medieval/Modern,Flintshire,-3.083648693113576,53.22739135466335
Mynydd Bach Camp,Defence,Prehistoric,Wrexham,-3.2622560885138476,52.89719534157602
Cerrig Pryfaid Stone Circle                                                                                                                           ,"Religious, Ritual and Funerary",Prehistoric,Conwy,-3.911915945544508,53.22369451264058
Gwern y Plas Ancient Village                                                                                                                          ,Domestic,Prehistoric,Conwy,-3.9698666376878338,53.25418048489469
Mwdwl Eithin Round Barrows,"Religious, Ritual and Funerary",Prehistoric,Conwy,-3.7544911324576713,53.19769937778867
"Site of Medieval King's Hall and Wardrobe, Rosehill Street                                                                                            ",Monument,Medieval,Conwy,-3.8275956818297177,53.28001916579699
Hut Groups N of Cerrig y Dinas                                                                                                                        ,Domestic,Prehistoric,Conwy,-3.8697079684256774,53.249617766416655
Llanrwst Bridge,Transport,Post Medieval/Modern,Conwy,-3.7975677246083803,53.13699383430149
Hendre-Waelod Burial Chamber                                                                                                                          ,"Religious, Ritual and Funerary",Prehistoric,Conwy,-3.811054793485878,53.25598953451443
"Six Inscribed Stones in St Tudclud's Church, Penmachno                                                                                                ","Religious, Ritual and Funerary",Early Medieval,Conwy,-3.806204431454678,53.03885113745262
Ogof Pant-y-Wennol                                                                                                                                    ,Monument,Prehistoric,Conwy,-3.7906059951511977,53.31802371599319
Kendricks Cave & Upper Kendricks Cave                                                                                                                 ,Monument,Prehistoric,Conwy,-3.8335776290233317,53.32827560773551
Pont Rhyd-Llanfair                                                                                                                                    ,Transport,Post Medieval/Modern,Conwy,-3.7503363972293946,53.05630959722388
Pen y Dinas Camp,Defence,Iron Age,Conwy,-3.8348983638526217,53.32965773310582
Caer Oleu Camp,Defence,Prehistoric,Conwy,-3.8074744576157094,53.18243299490919
Talley Mound and Bailey Castle                                                                                                                        ,Defence,Medieval,Carmarthenshire,-3.9941158537459085,51.981867432465314
Castell y Gaer,Defence,Prehistoric,Gwynedd,-4.083200322810445,52.66061874241621
Fedw Deg Medieval House,Domestic,Post Medieval/Modern,Conwy,-3.8085725348932167,53.062990131339696
Gwernvale chambered cairn                                                                                                                             ,"Religious, Ritual and Funerary",Prehistoric,Powys,-3.1470814481911265,51.86598599313602
Monnow Bridge                                                                                                                                         ,Transport,Medieval,Monmouthshire,-2.720044844762026,51.808973188194074
St Rogue's Chapel                                                                                                                                     ,"Religious, Ritual and Funerary",Medieval,Bridgend,-3.602055829275436,51.490746645452035
Cooking Mound East of Taff Terrace,Domestic,Prehistoric,Cardiff,-3.2488560634442125,51.51259300704301
Llandaff Cathedral Bell Tower,"Religious, Ritual and Funerary",Medieval,Cardiff,-3.218622534700741,51.49533189014137
Ely Roman Villa,Domestic,Roman,Cardiff,-3.2295713395811436,51.47769228009143
Dominican Friary,"Religious, Ritual and Funerary",Medieval,Cardiff,-3.1853334169219,51.48318337819168
"Old Bishop's Palace, Llandaff",Domestic,Medieval,Cardiff,-3.217262124518985,51.49455473168406
"Sully Island, ""Danish"" Fort                                                                                                                           ",Defence,Prehistoric,Vale of Glamorgan,-3.196408633212439,51.39566871297325
Medieval Moated Site 400m N of Undy Church                                                                                                            ,Domestic,Medieval,Monmouthshire,-2.8101391172315586,51.582460674268766
Caerau                                                                                                                                                ,Monument,Prehistoric,Pembrokeshire,-4.738634968871171,52.075633796015815
St Non's Chapel,"Religious, Ritual and Funerary",Early Medieval,Pembrokeshire,-5.268810474805441,51.872195631981675
Parc y Castell Mound and Bailey Castle,Defence,Medieval,Pembrokeshire,-5.278518706877844,51.879606423576625
Castell Hendre-Wen,Monument,Prehistoric,Pembrokeshire,-5.027794261384262,51.962806246339845
Castell Poeth                                                                                                                                         ,Monument,Prehistoric,Pembrokeshire,-5.0647722732146,51.997958904608424
Ffynnon- Druidion Standing Stone                                                                                                                      ,"Religious, Ritual and Funerary",Prehistoric,Pembrokeshire,-5.028743269047565,51.98765855301708
Garn Gilfach Burial Chamber                                                                                                                           ,"Religious, Ritual and Funerary",Prehistoric,Pembrokeshire,-5.04831260694644,52.00981751056182
Cae Sara Lead Mine,Industrial,Post Medieval/Modern,Carmarthenshire,-3.8143010626502765,51.93282117244145
Group of Burnt Mounds 300m SSW of Cilcoll Farm                                                                                                        ,Domestic,Prehistoric,Carmarthenshire,-3.996141992579907,51.821943792251254
Bretton Hall Moated Site                                                                                                                              ,Domestic,Medieval,Flintshire,-2.9498870796462553,53.166857779926616
Gwersyll                                                                                                                                              ,Monument,Prehistoric,Rhondda Cynon Taff,-3.410176255169033,51.72654271615444
Roman Wall Surrounding St Cybi's Churchyard,Defence,Roman,Isle of Anglesey,-4.632344912113838,53.31144695222414
Stone Circle 200m SW of Cerrig Cynant                                                                                                                 ,"Religious, Ritual and Funerary",Prehistoric,Carmarthenshire,-3.7509293539284645,52.0826027157698
Strata Florida Abbey,"Religious, Ritual and Funerary",Medieval,Ceredigion,-3.8381759336758905,52.27515005476854
Allt Dolanog Hillfort                                                                                                                                 ,Defence,Prehistoric,Powys,-3.386530849498686,52.70957794652142
Crug Eryr Mound and Bailey Castle                                                                                                                     ,Defence,Medieval,Powys,-3.234783092140933,52.22543553787967
Caerleon Legionary Fortress: Old Vicarage Garden,Defence,Roman,Newport,-2.9561852564104973,51.61076393882475
Danish Camp                                                                                                                                           ,Monument,Prehistoric,Neath Port Talbot,-3.702736338497639,51.5701235587786
Caerleon Legionary Fortress: Back Garden of No 4 Museum Street                                                                                        ,Defence,Roman,Newport,-2.954531645408216,51.61041773633329
Caerleon Legionary Fortress: Area behind Caerleon House                                                                                               ,Defence,Roman,Newport,-2.9531147960878235,51.60896362394951
"Caerleon Legionary Fortress: Town Hall Park, High Street",Defence,Roman,Newport,-2.95710400210901,51.61118804581538
Hanton Round Barrows                                                                                                                                  ,"Religious, Ritual and Funerary",Prehistoric,Pembrokeshire,-4.924220784601168,51.79246916165712
Linney Deserted Medieval Village                                                                                                                      ,Domestic,Medieval,Pembrokeshire,-5.042192988152977,51.629675357039126
Napps Camp                                                                                                                                            ,Defence,Prehistoric,Carmarthenshire,-4.567611035459793,51.73921854495138
"Parys Mountain: Windmill, Engine House, Precipitation Pits and Great Opencast",Monument,Post Medieval/Modern,Isle of Anglesey,-4.343503680765818,53.38678464648705
Tyddyn Sadler Hut Group,Domestic,Prehistoric,Isle of Anglesey,-4.382196797802307,53.23665238545893
Pen-y-Fynwent Enclosure                                                                                                                               ,Monument,Medieval,Isle of Anglesey,-4.356074774559421,53.37314981019276
Enclosed Hut Group West of Mariandyrys,Domestic,Prehistoric,Isle of Anglesey,-4.107970595830728,53.30941943491672
Tre-Arddur Hut Group                                                                                                                                  ,Domestic,Prehistoric,Isle of Anglesey,-4.607893542690889,53.287401981622345
Benllech Megalith: Goosehouse                                                                                                                         ,"Religious, Ritual and Funerary",Prehistoric,Isle of Anglesey,-4.224683449186191,53.32014640003794
"North Weir and Smoke Tower, Ynys Gorad Goch",Agriculture and Subsistence,Post Medieval/Modern,Isle of Anglesey,-4.181282188981574,53.2186800936965
Bodewryd Standing Stone                                                                                                                               ,"Religious, Ritual and Funerary",Prehistoric,Isle of Anglesey,-4.397793266885804,53.384636072670645
Maen Addwyn                                                                                                                                           ,"Religious, Ritual and Funerary",Prehistoric,Isle of Anglesey,-4.312888754000736,53.32471664795783
Dinas Cadnant Hillfort,Defence,Prehistoric,Isle of Anglesey,-4.171148259382216,53.23776357040424
Aberlleiniog Castle,Defence,Medieval,Isle of Anglesey,-4.077249243632488,53.292535235239626
Bodfeddan Inscribed Stone,"Religious, Ritual and Funerary",Early Medieval,Isle of Anglesey,-4.465007004999047,53.242843851299
Din Llugwy Romano-British Village,Domestic,Prehistoric,Isle of Anglesey,-4.259332392970363,53.350719458611344
Penmon Priory,"Religious, Ritual and Funerary",Medieval,Isle of Anglesey,-4.0568221263934445,53.305529871901584
"Rhosydd Incline, Drumhouse & Tramway",Transport,Post Medieval/Modern,Gwynedd,-4.001156688751199,52.996647554862825
Cefn Clawdd Early Settlement and Fields                                                                                                               ,Agriculture and Subsistence,Prehistoric,Gwynedd,-3.950439316716616,52.88501730838424
Hut Circle 800m West of Moelfryn-Isaf                                                                                                                 ,Domestic,Prehistoric,Gwynedd,-3.9716633586662575,52.90366422250311
Cwm Moch Settlement                                                                                                                                   ,Domestic,Medieval,Gwynedd,-3.9872017755116547,52.906902608289165
Cerrig Arthur Stone Circle                                                                                                                            ,"Religious, Ritual and Funerary",Prehistoric,Gwynedd,-4.028692794057704,52.7502261012858
Ceunant Egryn Enclosed Settlement,Domestic,Prehistoric,Gwynedd,-4.06822416832626,52.76519657596187
Cyfannedd-Fach Homestead                                                                                                                              ,Domestic,Medieval,Gwynedd,-4.025723300983916,52.69547624107412
Bryn-y-Castell Hillfort,Defence,Prehistoric,Gwynedd,-3.8953772298976803,52.968910501638355
Tomen y Mur,"Religious, Ritual and Funerary",Roman,Gwynedd,-3.9222224329755084,52.92852490806977
Y Gyrn Round Cairns                                                                                                                                   ,"Religious, Ritual and Funerary",Prehistoric,Gwynedd,-4.022301329097052,52.903163231952426
Cefn Ddwysarn Camp,Monument,Prehistoric,Gwynedd,-3.53843754517688,52.931040937614235
Byrllysg promontory fort,Defence,Prehistoric,Gwynedd,-4.083917874525405,52.7961478609571
Bron-y-Foel West Burial Chamber                                                                                                                       ,"Religious, Ritual and Funerary",Prehistoric,Gwynedd,-4.066702845493704,52.801286248131674
Corwen Churchyard Cross                                                                                                                               ,"Religious, Ritual and Funerary",Medieval,Denbighshire,-3.373592022762799,52.9799709287517
Pont Carrog                                                                                                                                           ,Transport,Post Medieval/Modern,Denbighshire,-3.319258315837875,52.98345421913656
Caer Drewen Camp                                                                                                                                      ,Defence,Prehistoric,Denbighshire,-3.360240314698888,52.98925820998969
Moel Ty-Uchaf Circles                                                                                                                                 ,"Religious, Ritual and Funerary",Prehistoric,Denbighshire,-3.4056342383471803,52.92317518344156
Tomen y Bala Castle Mound,Defence,Medieval,Gwynedd,-3.5955070308783164,52.91153448076063
Caer Gai Roman Site,Defence,Roman,Gwynedd,-3.6683897026287453,52.86888060783343
Enclosed Hut Group North East of Cae'r Mynydd,Domestic,Prehistoric,Gwynedd,-4.132460080069145,53.16188924977399
"Huts on Mynydd Enlli, Bardsey Island",Domestic,Prehistoric,Gwynedd,-4.784962646840861,52.75913112490737
"Pen-yr-Orsedd Quarry, Blondins and Associated Structures                                                                                              ",Industrial,Post Medieval/Modern,Gwynedd,-4.2273192542349864,53.063949708318965
Fortified Hut Settlement above Rachub,Domestic,Prehistoric,Gwynedd,-4.054482499093487,53.19047477926124
Hut Circle Settlement East of Dinas-y-Prif                                                                                                            ,Domestic,Prehistoric,Gwynedd,-4.29518422752091,53.0950540176795
Llangwnadl Standing Stone,"Religious, Ritual and Funerary",Prehistoric,Gwynedd,-4.662677300589704,52.86034127204009
Y Foel Camp,Defence,Prehistoric,Gwynedd,-4.312389773709394,53.030964918789465
"Inscribed Stone in St Cian's Churchyard, Llangian                                                                                                     ","Religious, Ritual and Funerary",Early Medieval,Gwynedd,-4.531326743082307,52.83094453077625
Castell Odo,Defence,Prehistoric,Gwynedd,-4.692037989655869,52.8232068686978
Castell Cricieth,Defence,Medieval,Gwynedd,-4.2324582843720755,52.915887545449934
Dinas Emrys Camp                                                                                                                                      ,Defence,Roman,Gwynedd,-4.078964194391227,53.022176434779446
Gesail Gyfarch Inscribed Stone                                                                                                                        ,"Religious, Ritual and Funerary",Early Medieval,Gwynedd,-4.17454486100734,52.952836417910966
Pwll Du Village,Industrial,Post Medieval/Modern,Monmouthshire,-3.0957375791274377,51.79888762823057
"Area of Deserted Medieval Settlement, Skenfrith",Domestic,Medieval,Monmouthshire,-2.794127277657727,51.87862695728091
British Colliery Pumping Engine House                                                                                                                 ,Industrial,Post Medieval/Modern,Torfaen,-3.075050103956334,51.72658975454323
Marine Colliery Pumping Engine,Industrial,Post Medieval/Modern,Blaenau Gwent,-3.175906507980916,51.7315219760581
Redbrook Incline Overbridge                                                                                                                           ,Transport,Post Medieval/Modern,Monmouthshire,-2.6733500042403264,51.78922664449535
"Tramroad Bridge, Bailey's Tramroad, Govilon                                                                                                           ",Transport,Post Medieval/Modern,Monmouthshire,-3.075384408731427,51.81382142078069
Moated Site E of Grangefield Farm                                                                                                                     ,Domestic,Medieval,Newport,-2.881551445425851,51.56008730540234
Medieval House Sites W of Trellech Church,Domestic,Medieval,Monmouthshire,-2.726083587304986,51.746078532749586
"Little Hadnock Roman Villa, Dixton Newtown                                                                                                            ",Domestic,Roman,Monmouthshire,-2.6757866083145054,51.83388059589127
"Cairn Cemetery on Mynydd Bach, Bedwas                                                                                                                 ","Religious, Ritual and Funerary",Prehistoric,Caerphilly,-3.2025179571898303,51.620574405890295
Old Furnace Blast Furnace,Industrial,Post Medieval/Modern,Monmouthshire,-2.7050474044233614,51.6992631876049
"St George's Well, Abergele                                                                                                                            ","Religious, Ritual and Funerary",Early Medieval,Conwy,-3.5362670556611704,53.268046910256714
Wrexham Churchyard Ornamental Wrought Iron Gates and Screen,Monument,Post Medieval/Modern,Wrexham,-2.9929902039741556,53.04462813605304
Derwen Cross,"Religious, Ritual and Funerary",Medieval,Denbighshire,-3.3883130714519387,53.04559675305023
Wat's Dyke : Section South of Ruthin Road                                                                                                             ,Monument,Early Medieval,Wrexham,-3.004859242969229,53.04251480142358
"Remains of Brunel Dock, Briton Ferry",Maritime,Post Medieval/Modern,Neath Port Talbot,-3.8268638539288062,51.62700327539244
Site of Medieval Mill & Mill Leat Cliffwood                                                                                                           ,Agriculture and Subsistence,Medieval,Vale of Glamorgan,-3.3114872449857313,51.394140269674494
Glyncorrwg Mineral Railway (Parsons Folly) Section on Cefn Morfudd                                                                                    ,Transport,Post Medieval/Modern,Neath Port Talbot,-3.751163277578033,51.66880189377743
Tarren Deusant Sculptured Rock & Spring                                                                                                               ,"Religious, Ritual and Funerary",Unknown,Rhondda Cynon Taff,-3.369383826245548,51.57580088762236
"Gelli-Isaf Tramroad Bridge, Abernant Tramroad                                                                                                         ",Transport,Post Medieval/Modern,Rhondda Cynon Taff,-3.463733860512123,51.72876497225171
Pont y Cafnau Tramroad Bridge                                                                                                                         ,Transport,Post Medieval/Modern,Merthyr Tydfil,-3.395607138548155,51.754635967339475
Plas Baglan                                                                                                                                           ,Defence,Medieval,Neath Port Talbot,-3.7978535157502,51.61570731984994
Merthyr Tramroad: Pont y Gwaith section and associated bridges                                                                                        ,Transport,Post Medieval/Modern,Merthyr Tydfil,-3.3296290166918943,51.67075324566235
Roman Marching Camp South West of Melin Court Brook                                                                                                   ,Defence,Roman,Neath Port Talbot,-3.684104635691418,51.68705669899315
St-y-Nyll Round Barrow,"Religious, Ritual and Funerary",Prehistoric,Vale of Glamorgan,-3.296730969006979,51.49641836177016
Stormy Castle,Defence,Medieval,Bridgend,-3.664752700891986,51.5206178437574
"Enclosure, Field System & Hollow-ways North of Pant                                                                                                   ",Monument,Medieval,Flintshire,-3.2871801602903026,53.260730932616426
Taylor's Pottery                                                                                                                                      ,Industrial,Post Medieval/Modern,Flintshire,-3.0952341708155515,53.18007353174613
"Pinfold Lane Pottery, Site of                                                                                                                         ",Industrial,Post Medieval/Modern,Flintshire,-3.086032255106099,53.1818747635668
Trelawnyd Churchyard Cross                                                                                                                            ,"Religious, Ritual and Funerary",Medieval,Flintshire,-3.368477998340527,53.30567153490785
Round Barrow 450m South West of Glol Farm                                                                                                             ,"Religious, Ritual and Funerary",Prehistoric,Flintshire,-3.319794530014351,53.29356321238443
Moel y Gaer Camp,Defence,Prehistoric,Flintshire,-3.1826759294295144,53.21250708423958
Dolau-Hirion Bridge                                                                                                                                   ,Transport,Post Medieval/Modern,Carmarthenshire,-3.805075594931153,52.00951932191197
Spudder's Bridge                                                                                                                                      ,Transport,Medieval,Carmarthenshire,-4.2692078497155475,51.72976933719117
Carmarthen Castle,Defence,Medieval,Carmarthenshire,-4.3058780575179645,51.85570857528242
The Bulwarks (Civil War),Monument,Post Medieval/Modern,Carmarthenshire,-4.312223873896054,51.8551343164653
Round Barrow N of Rosemary Lane                                                                                                                       ,"Religious, Ritual and Funerary",Prehistoric,Pembrokeshire,-4.834173851656814,51.71668324230192
Round Barrow on W Slope of Freni Fawr                                                                                                                 ,"Religious, Ritual and Funerary",Prehistoric,Pembrokeshire,-4.62348376662545,51.98577166316049
Pencraig-Fawr Camp                                                                                                                                    ,Monument,Prehistoric,Pembrokeshire,-4.736938272764829,51.90367857984735
